,Survived,Pclass,Age,SibSp,Parch,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,0,2,22.0,1,0,0,1,0,0,1
1,1,0,38.0,1,0,1,0,1,0,0
2,1,2,26.0,0,0,1,0,0,0,1
3,1,0,35.0,1,0,1,0,0,0,1
4,0,2,35.0,0,0,0,1,0,0,1
5,0,2,29.69911764705882,0,0,0,1,0,1,0
6,0,0,54.0,0,0,0,1,0,0,1
7,0,2,2.0,3,1,0,1,0,0,1
8,1,2,27.0,0,2,1,0,0,0,1
9,1,1,14.0,1,0,1,0,1,0,0
10,1,2,4.0,1,1,1,0,0,0,1
11,1,0,58.0,0,0,1,0,0,0,1
12,0,2,20.0,0,0,0,1,0,0,1
13,0,2,39.0,1,5,0,1,0,0,1
14,0,2,14.0,0,0,1,0,0,0,1
15,1,1,55.0,0,0,1,0,0,0,1
16,0,2,2.0,4,1,0,1,0,1,0
17,1,1,29.69911764705882,0,0,0,1,0,0,1
18,0,2,31.0,1,0,1,0,0,0,1
19,1,2,29.69911764705882,0,0,1,0,1,0,0
20,0,1,35.0,0,0,0,1,0,0,1
21,1,1,34.0,0,0,0,1,0,0,1
22,1,2,15.0,0,0,1,0,0,1,0
23,1,0,28.0,0,0,0,1,0,0,1
24,0,2,8.0,3,1,1,0,0,0,1
25,1,2,38.0,1,5,1,0,0,0,1
26,0,2,29.69911764705882,0,0,0,1,1,0,0
27,0,0,19.0,3,2,0,1,0,0,1
28,1,2,29.69911764705882,0,0,1,0,0,1,0
29,0,2,29.69911764705882,0,0,0,1,0,0,1
30,0,0,40.0,0,0,0,1,1,0,0
31,1,0,29.69911764705882,1,0,1,0,1,0,0
32,1,2,29.69911764705882,0,0,1,0,0,1,0
33,0,1,66.0,0,0,0,1,0,0,1
34,0,0,28.0,1,0,0,1,1,0,0
35,0,0,42.0,1,0,0,1,0,0,1
36,1,2,29.69911764705882,0,0,0,1,1,0,0
37,0,2,21.0,0,0,0,1,0,0,1
38,0,2,18.0,2,0,1,0,0,0,1
39,1,2,14.0,1,0,1,0,1,0,0
40,0,2,40.0,1,0,1,0,0,0,1
41,0,1,27.0,1,0,1,0,0,0,1
42,0,2,29.69911764705882,0,0,0,1,1,0,0
43,1,1,3.0,1,2,1,0,1,0,0
44,1,2,19.0,0,0,1,0,0,1,0
45,0,2,29.69911764705882,0,0,0,1,0,0,1
46,0,2,29.69911764705882,1,0,0,1,0,1,0
47,1,2,29.69911764705882,0,0,1,0,0,1,0
48,0,2,29.69911764705882,2,0,0,1,1,0,0
49,0,2,18.0,1,0,1,0,0,0,1
50,0,2,7.0,4,1,0,1,0,0,1
51,0,2,21.0,0,0,0,1,0,0,1
52,1,0,49.0,1,0,1,0,1,0,0
53,1,1,29.0,1,0,1,0,0,0,1
54,0,0,65.0,0,1,0,1,1,0,0
